Date,Open,High,Low,Close,Adj Close,Volume
2019-07-19,2080.209961,2096.729980,2076.510010,2094.360107,2094.360107,383100
2019-07-22,2090.350098,2099.340088,2087.510010,2093.340088,2093.340088,0
2019-07-23,2095.760010,2106.389893,2095.379883,2101.449951,2101.449951,628700
2019-07-24,2097.159912,2105.679932,2080.659912,2082.300049,2082.300049,825850200
2019-07-25,2085.669922,2088.810059,2061.080078,2074.479980,2074.479980,600
2019-07-26,2063.350098,2068.159912,2054.639893,2066.260010,2066.260010,600
2019-07-29,2059.129883,2063.129883,2025.010010,2029.479980,2029.479980,600
2019-07-30,2035.319946,2044.589966,2032.609985,2038.680054,2038.680054,500
2019-07-31,2036.459961,2041.160034,2010.949951,2024.550049,2024.550049,600
2019-08-01,2015.089966,2032.229980,2009.329956,2017.339966,2017.339966,500
2019-08-02,1995.310059,2005.310059,1987.119995,1998.130005,1998.130005,400
2019-08-05,1985.930054,1987.640015,1945.390015,1946.979980,1946.979980,600
2019-08-06,1900.359985,1948.530029,1891.810059,1917.500000,1917.500000,700
2019-08-07,1925.329956,1929.290039,1901.609985,1909.709961,1909.709961,800
2019-08-08,1926.280029,1937.949951,1915.810059,1920.609985,1920.609985,800
2019-08-09,1940.060059,1946.939941,1936.140015,1937.750000,1937.750000,700
2019-08-12,1941.530029,1949.189941,1933.250000,1942.290039,1942.290039,400
2019-08-13,1928.760010,1937.680054,1923.579956,1925.829956,1925.829956,700
2019-08-14,1946.180054,1952.219971,1937.229980,1938.369995,1938.369995,700
2019-08-16,1921.489990,1927.699951,1911.719971,1927.170044,1927.170044,400
2019-08-19,1936.640015,1943.089966,1931.439941,1939.900024,1939.900024,500
2019-08-20,1942.989990,1964.160034,1937.530029,1960.250000,1960.250000,500
2019-08-21,1954.569946,1971.119995,1954.469971,1964.650024,1964.650024,400
2019-08-22,1966.599976,1967.959961,1951.010010,1951.010010,1951.010010,400
2019-08-23,1942.420044,1953.849976,1940.599976,1948.300049,1948.300049,400
2019-08-26,1915.339966,1924.489990,1909.920044,1916.310059,1916.310059,300
2019-08-27,1928.979980,1937.420044,1919.280029,1924.599976,1924.599976,400
2019-08-28,1929.959961,1943.619995,1926.430054,1941.089966,1941.089966,300
2019-08-29,1943.550049,1947.150024,1928.489990,1933.410034,1933.410034,300
2019-08-30,1951.660034,1971.209961,1951.300049,1967.790039,1967.790039,300
2019-09-02,1969.189941,1969.189941,1969.189941,1969.189941,1969.189941,0
2019-09-03,1966.500000,1976.369995,1960.150024,1965.689941,1965.689941,300
2019-09-04,1962.430054,1988.530029,1962.079956,1988.530029,1988.530029,300
2019-09-05,1993.619995,2015.390015,1992.510010,2004.750000,2004.750000,500
2019-09-06,2016.109985,2017.199951,2005.689941,2009.130005,2009.130005,400
2019-09-09,2013.380005,2029.800049,2013.280029,2019.550049,2019.550049,500
2019-09-10,2024.790039,2034.280029,2021.579956,2032.079956,2032.079956,500
2019-09-11,2043.719971,2050.800049,2040.040039,2049.199951,2049.199951,400
2019-09-16,2056.260010,2062.219971,2044.800049,2062.219971,2062.219971,500
2019-09-17,2058.719971,2066.330078,2055.169922,2062.330078,2062.330078,500
2019-09-18,2064.419922,2075.629883,2058.520020,2070.729980,2070.729980,600
2019-09-19,2070.530029,2089.810059,2070.530029,2080.350098,2080.350098,500
2019-09-20,2080.860107,2092.370117,2077.300049,2091.520020,2091.520020,600
