Date,Open,High,Low,Close,Adj Close,Volume
2019-05-15,2569.330078,2576.560059,2549.169922,2554.489990,2554.489990,0
2019-05-16,2552.689941,2590.459961,2552.340088,2581.110107,2581.110107,0
2019-05-17,2576.449951,2587.260010,2569.100098,2577.479980,2577.479980,0
2019-05-20,2582.010010,2588.389893,2567.110107,2571.649902,2571.649902,0
2019-05-21,2575.149902,2619.770020,2572.360107,2616.530029,2616.530029,0
2019-05-22,2619.659912,2645.699951,2610.459961,2638.709961,2638.709961,0
2019-05-23,2634.189941,2634.189941,2615.699951,2618.610107,2618.610107,0
2019-05-24,2621.939941,2642.399902,2616.560059,2619.239990,2619.239990,0
2019-05-27,2620.000000,2632.949951,2617.629883,2632.949951,2632.949951,0
2019-05-28,2634.129883,2640.810059,2596.300049,2609.780029,2609.780029,0
2019-05-29,2607.110107,2642.229980,2600.790039,2641.149902,2641.149902,0
2019-05-30,2645.000000,2665.280029,2642.270020,2659.520020,2659.520020,0
2019-05-31,2655.760010,2665.419922,2639.189941,2665.330078,2665.330078,0
2019-06-03,2660.639893,2743.810059,2649.780029,2729.929932,2729.929932,0
2019-06-04,2726.060059,2731.100098,2690.129883,2706.290039,2706.290039,0
2019-06-05,2706.659912,2713.820068,2690.429932,2701.840088,2701.840088,0
2019-06-06,2701.550049,2731.729980,2700.300049,2728.250000,2728.250000,0
2019-06-07,2734.939941,2743.110107,2725.429932,2729.610107,2729.610107,0
2019-06-10,2734.159912,2746.800049,2725.649902,2742.590088,2742.590088,0
2019-06-11,2718.129883,2759.570068,2717.750000,2751.750000,2751.750000,0
2019-06-13,2750.419922,2759.159912,2734.399902,2758.360107,2758.360107,0
2019-06-14,2757.580078,2772.060059,2738.620117,2739.280029,2739.280029,0
2019-06-17,2737.969971,2757.889893,2728.610107,2734.310059,2734.310059,0
2019-06-18,2732.469971,2761.689941,2723.989990,2761.689941,2761.689941,0
2019-06-19,2763.070068,2775.830078,2751.580078,2759.120117,2759.120117,0
2019-06-20,2758.530029,2788.189941,2758.530029,2780.199951,2780.199951,0
2019-06-21,2777.540039,2779.320068,2750.540039,2761.229980,2761.229980,0
2019-06-24,2762.169922,2772.370117,2758.179932,2762.649902,2762.649902,0
2019-06-25,2761.389893,2763.879883,2738.340088,2753.959961,2753.959961,0
2019-06-26,2754.909912,2778.250000,2751.510010,2775.139893,2775.139893,0
2019-06-27,2774.750000,2790.590088,2765.610107,2779.659912,2779.659912,0
2019-06-28,2777.939941,2786.659912,2761.459961,2765.850098,2765.850098,0
2019-07-01,2777.080078,2813.439941,2777.080078,2801.469971,2801.469971,0
2019-07-02,2802.820068,2810.020020,2795.360107,2809.810059,2809.810059,0
2019-07-03,2810.100098,2827.760010,2799.600098,2823.949951,2823.949951,0
2019-07-04,2823.330078,2842.780029,2813.659912,2842.780029,2842.780029,0
2019-07-05,2842.969971,2848.399902,2827.959961,2835.350098,2835.350098,0
2019-07-08,2823.139893,2823.669922,2806.969971,2822.550049,2822.550049,0
2019-07-09,2821.889893,2835.179932,2816.790039,2822.659912,2822.659912,0
2019-07-10,2824.790039,2833.179932,2808.760010,2822.750000,2822.750000,0
2019-07-11,2825.199951,2828.719971,2779.409912,2789.659912,2789.659912,0
2019-07-12,2787.090088,2788.699951,2760.459961,2777.580078,2777.580078,0
2019-07-15,2783.449951,2785.800049,2755.429932,2756.439941,2756.439941,0
2019-07-16,2754.050049,2757.350098,2736.439941,2755.879883,2755.879883,0
2019-07-17,2715.669922,2726.219971,2704.280029,2713.169922,2713.169922,0
2019-07-18,2705.629883,2714.550049,2694.739990,2702.590088,2702.590088,0
2019-07-19,2710.439941,2726.889893,2700.540039,2700.570068,2700.570068,0
2019-07-22,2699.310059,2705.070068,2684.250000,2684.250000,2684.250000,0
2019-07-23,2686.979980,2709.239990,2683.389893,2701.060059,2701.060059,0
2019-07-24,2706.729980,2708.500000,2677.350098,2682.909912,2682.909912,0
2019-07-25,2679.379883,2723.439941,2665.209961,2701.020020,2701.020020,0
2019-07-26,2697.209961,2733.320068,2694.840088,2715.679932,2715.679932,0
2019-07-29,2715.739990,2732.860107,2714.439941,2728.270020,2728.270020,0
2019-07-30,2730.379883,2735.209961,2714.010010,2734.679932,2734.679932,0
2019-07-31,2737.800049,2750.060059,2723.540039,2739.500000,2739.500000,0
2019-08-01,2727.679932,2737.909912,2722.479980,2729.419922,2729.419922,0
2019-08-02,2707.649902,2716.600098,2673.969971,2674.899902,2674.899902,0
2019-08-05,2666.850098,2676.610107,2645.120117,2649.159912,2649.159912,0
2019-08-06,2654.340088,2686.860107,2654.110107,2683.350098,2683.350098,0
2019-08-07,2683.110107,2696.530029,2666.409912,2674.979980,2674.979980,0
2019-08-08,2693.169922,2707.620117,2693.169922,2696.689941,2696.689941,0
2019-08-09,2696.649902,2700.949951,2678.070068,2679.709961,2679.709961,0
2019-08-12,2687.120117,2698.389893,2682.050049,2689.929932,2689.929932,0
2019-08-13,2688.919922,2697.530029,2665.350098,2680.120117,2680.120117,0
2019-08-14,2684.629883,2687.929932,2630.820068,2637.040039,2637.040039,0
2019-08-15,2643.530029,2651.229980,2620.199951,2625.580078,2625.580078,0
2019-08-16,2636.290039,2640.919922,2615.199951,2615.199951,2615.199951,0
2019-08-19,2627.469971,2653.310059,2619.389893,2648.090088,2648.090088,0
2019-08-20,2651.100098,2675.260010,2647.399902,2672.840088,2672.840088,0
2019-08-21,2677.550049,2679.459961,2665.100098,2673.949951,2673.949951,0
2019-08-22,2673.770020,2680.649902,2662.310059,2675.129883,2675.129883,0
2019-08-23,2679.229980,2682.949951,2656.969971,2660.739990,2660.739990,0
2019-08-26,2651.090088,2672.189941,2640.050049,2658.239990,2658.239990,0
2019-08-27,2660.760010,2663.139893,2636.989990,2659.350098,2659.350098,0
2019-08-28,2658.169922,2677.989990,2649.540039,2677.310059,2677.310059,0
2019-08-29,2679.800049,2714.370117,2679.110107,2714.250000,2714.250000,0
2019-08-30,2716.689941,2740.040039,2715.300049,2740.040039,2740.040039,0
2019-09-02,2742.300049,2774.770020,2735.110107,2773.010010,2773.010010,0
2019-09-03,2770.860107,2781.060059,2757.850098,2774.199951,2774.199951,0
2019-09-04,2787.370117,2799.840088,2784.959961,2793.360107,2793.360107,0
2019-09-05,2800.969971,2815.840088,2796.189941,2807.060059,2807.060059,0
2019-09-06,2805.949951,2805.949951,2780.760010,2797.550049,2797.550049,0
2019-09-09,2802.489990,2810.909912,2777.629883,2786.629883,2786.629883,0
2019-09-10,2784.800049,2791.020020,2767.290039,2787.520020,2787.520020,0
2019-09-11,2788.189941,2819.750000,2782.949951,2817.050049,2817.050049,0
2019-09-12,2816.060059,2816.060059,2789.139893,2799.989990,2799.989990,0
