Date,Open,High,Low,Close,Adj Close,Volume
2019-05-15,1557.579956,1558.709961,1534.369995,1543.270020,1543.270020,71245900
2019-05-16,1551.739990,1569.589966,1548.709961,1569.589966,1569.589966,88953700
2019-05-19,1567.869995,1574.079956,1566.420044,1572.459961,1572.459961,20481400
2019-05-20,1574.209961,1577.660034,1554.329956,1561.420044,1561.420044,52089100
2019-05-21,1574.170044,1577.109985,1563.699951,1570.930054,1570.930054,48362500
2019-05-22,1569.780029,1581.819946,1566.969971,1581.819946,1581.819946,57926500
2019-05-23,1576.069946,1576.069946,1563.880005,1563.969971,1563.969971,65401000
2019-05-26,1563.459961,1569.839966,1557.859985,1569.839966,1569.839966,42002100
2019-05-27,1574.189941,1577.119995,1563.770020,1565.869995,1565.869995,60146600
2019-05-28,1568.939941,1570.229980,1560.530029,1562.079956,1562.079956,264343200
2019-05-29,1545.579956,1548.670044,1534.530029,1538.010010,1538.010010,123080900
2019-05-30,1547.589966,1549.319946,1537.250000,1544.439941,1544.439941,120928500
2019-06-02,1523.050049,1524.089966,1517.189941,1524.060059,1524.060059,25576200
2019-06-03,1524.689941,1530.030029,1517.380005,1528.079956,1528.079956,64844000
2019-06-04,1526.719971,1543.339966,1525.739990,1540.819946,1540.819946,54755200
2019-06-05,1546.920044,1552.900024,1542.069946,1545.469971,1545.469971,113063700
2019-06-06,1552.829956,1552.829956,1540.380005,1541.280029,1541.280029,74890600
2019-06-09,null,null,null,null,null,null
2019-06-10,1557.900024,1559.800049,1553.380005,1559.800049,1559.800049,44481200
2019-06-11,1559.869995,1560.359985,1551.989990,1553.849976,1553.849976,44068600
2019-06-12,1543.000000,1545.359985,1540.760010,1542.770020,1542.770020,67112400
2019-06-13,1542.810059,1558.719971,1542.400024,1557.949951,1557.949951,46384300
2019-06-16,1551.390015,1557.890015,1551.390015,1553.829956,1553.829956,10380500
2019-06-17,1557.560059,1557.560059,1543.760010,1548.819946,1548.819946,52488200
2019-06-18,1550.000000,1565.040039,1543.079956,1562.739990,1562.739990,58702800
2019-06-19,1561.829956,1566.670044,1559.750000,1566.670044,1566.670044,142238900
2019-06-20,1577.920044,1582.430054,1576.189941,1576.189941,1576.189941,91329700
2019-06-23,1577.079956,1577.930054,1572.670044,1577.099976,1577.099976,17099700
2019-06-24,1579.839966,1583.930054,1571.979980,1574.030029,1574.030029,53782900
2019-06-25,1570.439941,1573.930054,1567.280029,1568.900024,1568.900024,52384100
2019-06-26,1567.670044,1579.390015,1567.579956,1573.369995,1573.369995,38428600
2019-06-27,1580.650024,1586.089966,1578.640015,1579.050049,1579.050049,111956500
2019-06-30,1591.540039,1598.349976,1591.540039,1598.050049,1598.050049,26251100
2019-07-01,1601.760010,1605.989990,1593.780029,1594.020020,1594.020020,43577000
2019-07-02,1596.199951,1598.369995,1590.930054,1595.140015,1595.140015,33161900
2019-07-03,1597.640015,1604.060059,1595.339966,1601.589966,1601.589966,42925300
2019-07-04,1604.060059,1608.160034,1601.300049,1606.349976,1606.349976,35115400
2019-07-07,1603.270020,1606.209961,1601.579956,1603.839966,1603.839966,24345200
2019-07-08,1597.329956,1599.319946,1592.660034,1597.209961,1597.209961,82728300
2019-07-09,1589.359985,1600.050049,1587.599976,1600.050049,1600.050049,40863400
2019-07-10,1600.219971,1607.520020,1598.400024,1604.050049,1604.050049,60086800
2019-07-11,1606.550049,1606.689941,1595.630005,1597.670044,1597.670044,28087500
2019-07-14,1608.949951,1609.739990,1604.390015,1604.819946,1604.819946,7377100
2019-07-15,1602.880005,1606.109985,1595.930054,1598.930054,1598.930054,30575200
2019-07-16,1598.939941,1599.890015,1590.150024,1592.359985,1592.359985,36228000
2019-07-17,1588.689941,1591.819946,1574.489990,1574.619995,1574.619995,30932800
2019-07-18,1570.339966,1572.079956,1560.829956,1564.300049,1564.300049,41562200
2019-07-21,1560.839966,1565.130005,1555.359985,1564.359985,1564.359985,11961800
2019-07-22,1567.489990,1574.219971,1567.489990,1570.130005,1570.130005,24341700
2019-07-23,1573.209961,1591.089966,1570.369995,1590.130005,1590.130005,39699400
2019-07-24,1592.040039,1611.229980,1590.010010,1610.489990,1610.489990,45918200
2019-07-25,1620.170044,1621.650024,1604.280029,1609.520020,1609.520020,97309100
2019-07-28,1614.989990,1623.920044,1614.670044,1621.520020,1621.520020,19136700
2019-07-29,1620.310059,1623.939941,1613.390015,1614.020020,1614.020020,37338100
2019-07-30,1614.989990,1616.189941,1604.119995,1610.540039,1610.540039,60131900
2019-07-31,1616.780029,1626.369995,1616.699951,1624.420044,1624.420044,45581000
2019-08-01,1618.380005,1634.640015,1613.640015,1631.089966,1631.089966,209198600
2019-08-04,1611.859985,1630.430054,1610.199951,1627.319946,1627.319946,21851400
2019-08-05,1613.449951,1613.449951,1593.790039,1593.790039,1593.790039,37833400
2019-08-06,1596.890015,1611.390015,1591.079956,1602.449951,1602.449951,57842800
